"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 12:31:09 GMT 2024","Thu Apr 25 12:31:21 GMT 2024","12478","","tests.GaleriaTest","","tests.GaleriaTest","test_Lodowiec_Album_Is_Displayed","Display 'Lodowiec' album in the gallery",""
"passed","Thu Apr 25 12:30:09 GMT 2024","Thu Apr 25 12:30:18 GMT 2024","8759","","tests.FooterTest","","tests.FooterTest","test_I_Can_SignUp_For_Newsletter","Sign up for newsletter",""
"passed","Thu Apr 25 12:41:34 GMT 2024","Thu Apr 25 12:41:41 GMT 2024","7447","","tests.WyjazdyTest","","tests.WyjazdyTest","test_Different_Month_Selection_April","Check April tours",""
"passed","Thu Apr 25 12:34:06 GMT 2024","Thu Apr 25 12:34:23 GMT 2024","17823","","tests.HeaderTest","","tests.HeaderTest","navigatingThroughPages","Page navigation through header buttons",""
"passed","Thu Apr 25 12:41:00 GMT 2024","Thu Apr 25 12:41:07 GMT 2024","6865","","tests.WyjazdyTest","","tests.WyjazdyTest","test_Clear_Button","Use the clear button",""
"passed","Thu Apr 25 12:39:04 GMT 2024","Thu Apr 25 12:39:13 GMT 2024","8830","","tests.LogowanieTest","","tests.LogowanieTest","testRegisterWitUppercasePassword","Register with uppercase password",""
"passed","Thu Apr 25 12:28:40 GMT 2024","Thu Apr 25 12:28:56 GMT 2024","15399","","tests.FooterTest","","tests.FooterTest","test_If_Polityka_Prywatnosci_Redirect_To_Repsective_Page","'Polityka prywatności' hyperlink responsiveness",""
"passed","Thu Apr 25 12:40:50 GMT 2024","Thu Apr 25 12:40:55 GMT 2024","5295","","tests.TreningiTest","","tests.TreningiTest","test_Monday_Trainings_On_Page","Veryfing Monday training HTML text",""
"passed","Thu Apr 25 12:32:07 GMT 2024","Thu Apr 25 12:32:56 GMT 2024","48859","","tests.GlownaTest","","tests.GlownaTest","test_KrzysiekPomaga_Page_Opens_Upon_Clicking_On_Logo","KrzysiekPomaga hyperlink responsiveness",""
"passed","Thu Apr 25 12:40:39 GMT 2024","Thu Apr 25 12:40:44 GMT 2024","5411","","tests.OnasTest","","tests.OnasTest","_test_Page_Source_Not_Corrupted","Veryfing O nas HTML page structure",""
"passed","Thu Apr 25 12:41:25 GMT 2024","Thu Apr 25 12:41:34 GMT 2024","8565","","tests.WyjazdyTest","","tests.WyjazdyTest","test_All_Filters","Using all the filters",""
