"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 13:28:20 CET 2024","Tue Mar 05 13:28:30 CET 2024","10451","","tests.FooterTest","","tests.FooterTest","test_If_treningi_Redirect_To_Repsective_Page","test_If_treningi_Redirect_To_Repsective_Page()",""
"passed","Sun Mar 03 13:37:05 CET 2024","Sun Mar 03 13:37:11 CET 2024","5877","","tests.LogowanieTesty","","tests.LogowanieTesty","test_LogIn","test_LogIn()",""
"passed","Tue Mar 05 13:27:43 CET 2024","Tue Mar 05 13:28:20 CET 2024","37096","","tests.FooterTest","","tests.FooterTest","test_If_strona_Glowna_Redirect_To_Repsective_Page","test_If_strona_Glowna_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:40:43 CET 2024","Sat Mar 02 15:40:47 CET 2024","3801","","tests.footerTest","","tests.footerTest","test_If_logowanie_Redirect_To_Repsective_Page","test_If_logowanie_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:40:38 CET 2024","Tue Mar 05 13:41:07 CET 2024","28863","","tests.TreningiTest","","tests.TreningiTest","test_Thursday_Trainings_On_Page","test_Thursday_Trainings_On_Page()",""
"passed","Sat Mar 02 15:38:28 CET 2024","Sat Mar 02 15:38:33 CET 2024","4931","","tests.footerTest","","tests.footerTest","test_If_Can_SignUp_For_Newsletter","test_If_Can_SignUp_For_Newsletter()",""
"passed","Tue Mar 05 13:31:44 CET 2024","Tue Mar 05 13:31:53 CET 2024","8898","","tests.GaleriaTest","","tests.GaleriaTest","test_If_Photos_Are_Displayed","test_If_Photos_Are_Displayed()",""
"passed","Sat Mar 02 15:39:00 CET 2024","Sat Mar 02 15:39:11 CET 2024","10515","","tests.footerTest","","tests.footerTest","test_If_Zofia_Redirect_To_Repsective_Page","test_If_Zofia_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:34:40 CET 2024","Tue Mar 05 13:35:29 CET 2024","48866","","tests.GlownaTest","","tests.GlownaTest","test_Head_Page_Opens_Upon_Clicking_On_Logo","test_Head_Page_Opens_Upon_Clicking_On_Logo()",""
"passed","Tue Mar 05 13:29:55 CET 2024","Tue Mar 05 13:30:07 CET 2024","11468","","tests.GaleriaTest","","tests.GaleriaTest","test_If_Clear_Galeria_Clears","test_If_Clear_Galeria_Clears()",""
"passed","Tue Mar 05 13:36:21 CET 2024","Tue Mar 05 13:36:45 CET 2024","24628","","tests.HeaderTest","","tests.HeaderTest","test_If_wyjazdy_Redirect_To_Repsective_Page","test_If_wyjazdy_Redirect_To_Repsective_Page()",""
"passed","Sat Mar 02 15:40:04 CET 2024","Sat Mar 02 15:40:10 CET 2024","5771","","tests.footerTest","","tests.footerTest","test_If_treningi_Redirect_To_Repsective_Page","test_If_treningi_Redirect_To_Repsective_Page()",""
"passed","Tue Mar 05 13:38:39 CET 2024","Tue Mar 05 13:38:53 CET 2024","14160","","tests.NewsyTest","","tests.NewsyTest","test_News_Open_Upon_Clicking_On_It","test_News_Open_Upon_Clicking_On_It()",""
"broken","Sat Mar 02 21:21:35 CET 2024","Sat Mar 02 21:21:56 CET 2024","20328","","tests.GlownaTest","","tests.GlownaTest","test_Rontil_Page_Opens_Upon_Clicking_ON_Logo","test_Rontil_Page_Opens_Upon_Clicking_ON_Logo()",""
"broken","Tue Mar 05 13:26:24 CET 2024","Tue Mar 05 13:26:49 CET 2024","25275","","tests.FooterTest","","tests.FooterTest","test_If_Can_SignUp_For_Newsletter","test_If_Can_SignUp_For_Newsletter()",""
"passed","Tue Mar 05 13:41:07 CET 2024","Tue Mar 05 13:41:43 CET 2024","35547","","tests.WyjazdyTest","","tests.WyjazdyTest","test_That_Only_One_Element_Is_Displayed_After_Filter_Usage","test_That_Only_One_Element_Is_Displayed_After_Filter_Usage()",""
